City,Country,State,First language,Other languages,PPreferred OS,Preferred mobile,Preferred progamming language,Flavor,Favorite Color,Favorite Number,Temperature,Average cups of coffee per day,Wake-up time,Bed time,Commonly visual encoding used in your research/homework/job,Program,Department
Jessore,Bangladesh,None,Bengali,Bengali,Windows,Android,Java,Vanilla,Pink,1,60,2,9:00:00 AM,2:00:00 AM,Table,PhD,CCIS
changzhou,China,Jiangsu,Chinese,Shanghainese,Apple,Android,Python,Vanilla,Blue,9,15,2,9:00:00 AM,2:00:00 AM,Choropleth map,,
Sui Chuan,China,JiangXi,Chinese,Spanish,Apple,None,Python,Vanilla,Green,7,33,0.2,10:00:00 AM,2:00:00 AM,Line graph,,
Tianjin,China,None,Chinese,Chinese,Apple,Apple iOS,None,None,None,0,60,0,7:00:00 AM,11:00:00 PM,Depends,,
Jining,China,Shandong,Chinese,None,Apple,Apple iOS,Python,Chocolate,Army Green,3,15.8,1,8:30:00 AM,12:30:00 AM,Scatter plot,PhD,CCIS
Dazhou,China,Sichuan,Chinese,None,Windows,Apple iOS,R,Chocolate,Red,1,27,1,10:00:00 AM,1:30:00 AM,Line graph,,
Athens,Greece,Attica,Greek,French,Windows,Android,C,Vanilla,Purple,6,47,0,8:00:00 AM,12:00:00 AM,Table,PhD,CCIS
Delhi,India,Delhi,Hindi,Hindi,Linux/Unix,None,Java,,None,None,60,0,8:00:00 AM,2:00:00 AM,Scatter plot,MS,CCIS
Kalpetta,India,Kerala,Tamil,"Hindi, Marathi, Konkani, Kannada, French, Gujarati",Windows,Android,R,Vanilla,Black,6,82,3,7:30:00 AM,1:00:00 AM,Scatter plot,PhD,CCIS
Nagpur,India,Maharahstra,Marathi,"Hindi, Marathi",Windows,Android,SQL,Chocolate,Blue,7,21.2,1,10:00:00 AM,3:00:00 AM,Bar graph,MS,CCIS
Mumbai,India,Maharashtra,Tamil,"Hindi, Tamil",Linux/Unix,Android,Python,Chocolate,Emerald Green,7,22,1,8:00:00 AM,1:00:00 AM,Line graph,PhD,CCIS
Mumbai,India,MH,Gujarati,"Hindi, Gujarati, Marathi",Apple,Apple iOS,Python,Chocolate,Black,2,34,0,8:00:00 AM,12:00:00 AM,Bar graph,MS,CCIS?
Jaipur,India,Rajasthan,Hindi,Hindi,Windows,Apple iOS,R,Chocolate,Blue,8,20,2,8:00:00 AM,12:30:00 AM,Bar graph,,
Ahvaz,Iran,Khouzestan,Persian,"Frenc, Arabic",Linux/Unix,Android,C,Vanilla,Navy Blue,7,55,2,10:18:00 AM,11:30:00 PM,Bar graph,PhD,CCIS
Tehran,Iran,Tehran,Persian,English,Apple,Apple iOS,C++,Chocolate,Blue,10,30,0,8:00:00 AM,1:00:00 AM,Pie chart,PhD,CCIS
Nairobi,Kenya,Nairobi,Swahili & Kikuyu,"Swahili, Kikuyu",Apple,Apple iOS,Python,Chocolate,Brown,1,33,1,5:50:00 AM,11:00:00 AM,Bar graph,PhD,NA
Lahore,Pakistan,Punjab,Urdu,Urdu,Linux/Unix,Android,Python,Chocolate,Blue,7,60,0.5,9:00:00 AM,11:30:00 AM,Bar graph,PhD,CCIS
Fairbanks,United States,Alaska,English,None,Apple,Apple iOS,Python,Chocolate,Periwinkle,2,28,9,8:30:00 AM,1:00:00 AM,Scatter plot,PhD,CCIS
Baltimore,United States,Maryland,Japanese,Japanese,Apple,Apple iOS,Python,Chocolate,Red,38,60,2,8:00:00 AM,12:00:00 AM,Line graph,,
Beverly,United States,Massachusetts,English,"French, Swahili",Apple,Apple iOS,Javascript,Vanilla,Green,8,23,4,2:00:00 PM,6:00:00 AM,Table,,
Malden,United States,Massachusetts,Chinese,Chinese,Linux/Unix,Android,Haskell,Chocolate,Linen,12,15,0,6:00:00 AM,10:00:00 PM,Table,,
Fridley,United States,Minnesota,English,None,Windows,Android,Python,Chocolate,Blue,7,30,0,9:00:00 AM,12:00:00 AM,Line graph,PhD,CCIS
Kansas City,United States,Missouri,English,None,Apple,Android,Python,Chocolate,Grey,2,53,0,7:00:00 AM,11:30:00 PM,Bar graph,PhD,CCIS
Nashua,United States,New Hampshire,English,None,Apple,Apple iOS,Python,Vanilla,Blue,3,45,1,7:00:00 AM,10:30:00 PM,Bar graph,MS,CCIS
New York,United States,New York,English,None,Linux/Unix,Android,Python,Chocolate,Blue,4,60,0,9:00:00 AM,12:00:00 AM,Node-link diagram,PhD,CCIS
New York City,United States,New York,English,None,Apple,Android,Matlab,Chocolate,Black,13,61,0,9:00:00 AM,12:20:00 AM,Scatter plot,PhD,CCIS
Providence,United States,Rhode Island,English,French,Windows,Android,Python,Chocolate,Blue,42,54,0,7:30:00 AM,11:00:00 PM,Line graph,,
Ho Chi MInh,Viet Nam,Ho Chi Minh,Vietnamese,Japanese,Windows,Android,Python,Chocolate,Red,8,60,1,8:00:00 AM,12:00:00 AM,Scatter plot,PhD,CCIS
Quang Ninh,Vietnam,None,Vietnamese,Japanese,"Linux/Unix, Windows",Android,Python,Vanilla,Blue,5,40,1,9:00:00 AM,1:00:00 AM,Line graph,PhD,CCIS