State,State Abbreviation,Region,2009 MWh Generation Biomass,2009 MWh Generation Geothermal,2009 MWh Generation Solar,2009 MWh Generation Wind,2009 MWh Generation Hydro,2009 MWh Generation HPS,2009 MWh Generation Coal,2009 MWh Generation Petroleum,2009 MWh Generation Gas,2009 MWh Generation Nuclear,2009 MWh Generation Other,2009 Total Non-Hydro RE Generation (MWh),2009 Total RE Generation (MWh),2009 Total Generation (MWh),Non-hydro Renewable as % of Total Generation,Renewable as % of Total Generation,Petroleum,Gas,Coal,Nuclear,Hydro,Non-Hydro Renewables
Alabama,AL,Southeast,3291196,0,0,0,"11,753,493",0,"55,659,872","163,054","32,369,863","39,716,204","7,137",3291196,15044689,142960819,2.30%,10.50%,"163,054","32,369,863","55,659,872",39716204,"11,753,493","3,291,196"
Alaska,AK,Alaska,4255,0,0,"3,062","1,204,550",0,"566,822","1,191,884","3,571,101",0,0,7317,1211868,6541675,0.10%,18.50%,"1,191,884","3,571,101","566,822",0,"1,204,550","7,317"
Arizona,AZ,West,159646,0,"13,759","9,555","6,348,463","169,480","39,783,826","67,337","34,852,150","30,661,851",534,182960,6531423,112066601,0.20%,5.80%,"67,337","34,852,150","39,783,826",30661851,"6,348,463","182,960"
Arkansas,AR,Southeast,1478310,0,0,0,"4,195,168","100,365","25,075,250","87,674","11,368,417","15,169,966","24,019",1478310,5673478,57499169,2.60%,9.90%,"87,674","11,368,417","25,075,250",15169966,"4,195,168","1,478,310"
California,CA,California,6062630,"13,022,836","611,763","5,764,637","27,707,085","144,453","1,948,279","1,638,019","115,749,546","31,734,676","440,323",25461867,53168952,204824249,12.40%,26.00%,"1,638,019","115,749,546","1,948,279",31734676,"27,707,085","25,461,867"
Colorado,CO,West,50528,0,"16,530","2,942,133","2,058,215","-108,658","31,641,090","15,552","13,802,364",0,"33,633",3009191,5067406,50451388,6.00%,10.00%,"15,552","13,802,364","31,641,090",0,"2,058,215","3,009,191"
Connecticut,CT,New England,753801,0,0,0,"623,123","5,385","2,453,497","288,349","9,678,195","16,657,387","712,522",753801,1376924,31172260,2.40%,4.40%,"288,349","9,678,195","2,453,497",16657387,"623,123","753,801"
Delaware,DE,Mid Atlantic,138302,0,0,0,0,0,"2,910,909","268,773","1,686,773",0,"5,877",138302,138302,5010634,2.80%,2.80%,"268,773","1,686,773","2,910,909",0,0,"138,302"
District of Columbia,DC,Mid Atlantic,0,0,0,0,0,0,0,"35,499",0,0,0,0,0,35499,0.00%,0.00%,"35,499",0,0,0,0,0
Florida,FL,Florida,4237764,0,"10,225",0,"244,526",0,"54,052,312","8,962,843","117,733,704","29,336,059","2,576,795",4247989,4492515,217154227,2.00%,2.10%,"8,962,843","117,733,704","54,052,312",29336059,"244,526","4,247,989"
Georgia,GA,Southeast,2931302,0,0,0,"3,055,512","271,988","69,524,670","644,996","20,301,025","31,682,579","26,648",2931302,5986814,128438721,2.30%,4.70%,"644,996","20,301,025","69,524,670",31682579,"3,055,512","2,931,302"
Hawaii,HI,Hawaii,294674,"167,591",25,"213,224","92,855",0,"1,521,169","8,288,819","40,378",0,"166,284",675513,768368,10785018,6.30%,7.10%,"8,288,819","40,378","1,521,169",0,"92,855","675,513"
Idaho,ID,West,477948,"107,079",0,"227,028","9,506,510",0,"72,994",124,"1,549,875",0,0,812055,10318565,11941557,6.80%,86.40%,124,"1,549,875","72,994",0,"9,506,510","812,055"
Illinois,IL,Mid Atlantic,752801,0,0,"2,761,152","161,280",0,"90,949,011","110,882","4,364,445","94,050,482","64,293",3513953,3675233,193214345,1.80%,1.90%,"110,882","4,364,445","90,949,011",94050482,"161,280","3,513,953"
Indiana,IN,Mid Atlantic,263428,0,0,"1,403,192","520,261",0,"108,590,677","154,666","5,390,611",0,"344,927",1666620,2186880,116667762,1.40%,1.90%,"154,666","5,390,611","108,590,677",0,"520,261","1,666,620"
Iowa,IA,Midwest,175258,0,0,"7,331,391","737,337",0,"37,491,842","92,859","1,140,568","4,678,931",40,7506649,8243986,51648226,14.50%,16.00%,"92,859","1,140,568","37,491,842",4678931,"737,337","7,506,649"
Kansas,KS,Heartland,0,0,0,"2,385,107","12,366",0,"32,242,988","124,354","2,611,084","8,768,548",0,2385107,2397473,46144448,5.20%,5.20%,"124,354","2,611,084","32,242,988",8768548,"12,366","2,385,107"
Kentucky,KY,Southeast,380464,0,0,0,"3,353,205",0,"84,379,768","2,028,175","843,725",0,"12,629",380464,3733669,90997966,0.40%,4.10%,"2,028,175","843,725","84,379,768",0,"3,353,205","380,464"
Louisiana,LA,Southeast,2493390,0,0,0,"1,236,351",0,"23,075,071","1,815,819","45,313,617","16,782,077","390,454",2493390,3729741,91106779,2.70%,4.10%,"1,815,819","45,313,617","23,075,071",16782077,"1,236,351","2,493,390"
Maine,ME,New England,3637795,0,0,"260,121","4,588,721",0,"72,386","480,670","7,481,945",0,"352,154",3897916,8486637,16873792,23.10%,50.30%,"480,670","7,481,945","72,386",0,"4,588,721","3,897,916"
Maryland,MD,Mid Atlantic,539982,0,0,0,"1,948,148",0,"24,414,551","346,732","2,070,846","14,550,119","255,891",539982,2488130,44126270,1.20%,5.60%,"346,732","2,070,846","24,414,551",14550119,"1,948,148","539,982"
Massachusetts,MA,New England,1259419,0,67,"3,798","1,276,194","-533,636","9,896,296","864,489","21,242,542","5,396,021","770,712",1263284,2539478,40175901,3.10%,6.30%,"864,489","21,242,542","9,896,296",5396021,"1,276,194","1,263,284"
Michigan,MI,Midwest,2250155,0,0,"289,188","1,320,648","-856,864","67,822,266","379,469","8,244,775","21,851,009","341,304",2539343,3859992,101641950,2.50%,3.80%,"379,469","8,244,775","67,822,266",21851009,"1,320,648","2,539,343"
Minnesota,MN,Midwest,1543617,0,0,"4,956,987","695,633",0,"30,091,455","60,295","2,559,675","12,393,425","340,463",6500604,7196236,52641549,12.30%,13.70%,"60,295","2,559,675","30,091,455",12393425,"695,633","6,500,604"
Mississippi,MS,Southeast,1397118,0,0,0,0,0,"12,970,797","17,028","23,380,703","10,998,515","5,206",1397118,1397118,48769367,2.90%,2.90%,"17,028","23,380,703","12,970,797",10998515,0,"1,397,118"
Missouri,MO,Southeast,56857,0,0,"498,515","1,914,728","566,713","71,848,215","86,777","3,400,527","10,247,116","27,422",555372,2470100,88646870,0.60%,2.80%,"86,777","3,400,527","71,848,215",10247116,"1,914,728","555,372"
Montana,MT,West,100425,0,0,"810,815","9,141,899",0,"15,164,571","489,689","81,800",0,"110,308",911240,10053139,25899507,3.50%,38.80%,"489,689","81,800","15,164,571",0,"9,141,899","911,240"
Nebraska,NE,Midwest,60163,0,0,"288,681","401,434",0,"23,427,525","24,899","332,467","9,435,142",0,348844,750278,33970311,1.00%,2.20%,"24,899","332,467","23,427,525",9435142,"401,434","348,844"
Nevada,NV,West,890,"1,616,677","150,858",0,"2,446,365",0,"7,507,244","17,727","26,080,001",0,0,1768426,4214791,37819763,4.70%,11.10%,"17,727","26,080,001","7,507,244",0,"2,446,365","1,768,426"
New Hampshire,NH,New England,1089623,0,0,"28,466","1,580,928",0,"2,885,668","171,818","5,352,728","8,816,673","59,854",1118088,2699016,19985757,5.60%,13.50%,"171,818","5,352,728","2,885,668",8816673,"1,580,928","1,118,088"
New Jersey,NJ,Mid Atlantic,914529,0,"2,438","19,150","37,117",0,"5,345,449","304,336","21,037,564","34,327,954","513,761",936117,973234,62502299,1.50%,1.60%,"304,336","21,037,564","5,345,449",34327954,"37,117","936,117"
New Mexico,NM,West,17433,0,0,"1,543,715","300,873",0,"29,084,699","43,480","8,759,510",0,"4,371",1561148,1862021,39754081,3.90%,4.70%,"43,480","8,759,510","29,084,699",0,"300,873","1,561,148"
New York,NY,New York,2081064,0,0,"2,258,904","28,317,958","-480,387","13,152,552","2,717,386","42,954,141","43,484,614","989,616",4339969,32657927,135475849,3.20%,24.10%,"2,717,386","42,954,141","13,152,552",43484614,"28,317,958","4,339,969"
North Carolina,NC,Southeast,2019959,0,"2,322",0,"4,921,505","43,077","65,853,978","287,979","4,926,167","40,847,711","90,997",2022280,6943785,118993695,1.70%,5.80%,"287,979","4,926,167","65,853,978",40847711,"4,921,505","2,022,280"
North Dakota,ND,Midwest,8453,0,0,"2,756,289","1,475,251",0,"29,812,959","48,076",757,0,838,2764742,4239993,34102623,8.10%,12.40%,"48,076",757,"29,812,959",0,"1,475,251","2,764,742"
Ohio,OH,Mid Atlantic,599703,0,0,"15,474","498,109",0,"113,824,221","1,311,952","4,747,936","14,937,336","14,388",615177,1113286,135949118,0.50%,0.80%,"1,311,952","4,747,936","113,824,221",14937336,"498,109","615,177"
Oklahoma,OK,Heartland,192385,0,0,"2,271,590","3,762,026","-116,831","34,200,892","19,609","34,915,888",0,0,2463975,6226001,75245559,3.30%,8.30%,"19,609","34,915,888","34,200,892",0,"3,762,026","2,463,975"
Oregon,OR,West,751004,0,0,"3,372,284","32,717,791",0,"3,196,902","5,657","15,776,934",0,"41,248",4123288,36841080,55861820,7.40%,66.00%,"5,657","15,776,934","3,196,902",0,"32,717,791","4,123,288"
Pennsylvania,PA,Mid Atlantic,2143017,0,0,"921,137","2,820,836","-560,345","104,927,415","930,953","29,623,748","76,727,686","842,542",3064154,5884990,218376989,1.40%,2.70%,"930,953","29,623,748","104,927,415",76727686,"2,820,836","3,064,154"
Rhode Island,RI,New England,152776,0,0,0,"6,135",0,0,"16,262","7,553,278",0,0,152776,158911,7728451,2.00%,2.10%,"16,262","7,553,278",0,0,"6,135","152,776"
South Carolina,SC,Southeast,1733561,0,0,0,"2,102,247","-976,443","35,157,227","523,380","9,402,119","52,149,734","105,354",1733561,3835807,100197178,1.70%,3.80%,"523,380","9,402,119","35,157,227",52149734,"2,102,247","1,733,561"
South Dakota,SD,Midwest,5775,0,0,"392,308","4,319,205",0,"3,190,913","10,089","122,133",0,"31,318",398083,4717288,8071741,4.90%,58.40%,"10,089","122,133","3,190,913",0,"4,319,205","398,083"
Tennessee,TN,Southeast,896431,0,0,"51,747","9,482,290","-649,832","41,634,519","178,151","410,411","26,962,001",788,948178,10430468,78966504,1.20%,13.20%,"178,151","410,411","41,634,519",26962001,"9,482,290","948,178"
Texas,TX,Texas,1382743,0,0,"19,367,239","1,501,345",0,"139,106,597","1,347,315","191,652,532","41,497,617","621,766",20749982,22251327,396477155,5.20%,5.60%,"1,347,315","191,652,532","139,106,597",41497617,"1,501,345","20,749,982"
Utah,UT,West,29266,"279,121",0,"64,497","696,991",0,"35,715,484","50,180","6,424,511",0,"186,748",372884,1069876,43446797,0.90%,2.50%,"50,180","6,424,511","35,715,484",0,"696,991","372,884"
Vermont,VT,New England,373143,0,0,"11,589","1,663,593",0,0,"3,577","4,431","5,360,608",0,384732,2048325,7416941,5.20%,27.60%,"3,577","4,431",0,5360608,"1,663,593","384,732"
Virginia,VA,Mid Atlantic,2465738,0,0,0,"1,414,565","-1,215,619","26,539,392","1,110,821","12,204,843","28,212,252","427,691",2465738,3880303,71159684,3.50%,5.50%,"1,110,821","12,204,843","26,539,392",28212252,"1,414,565","2,465,738"
Washington,WA,West,1437051,0,0,"3,538,936","73,932,815","52,383","7,477,773","47,275","11,409,482","6,634,014","63,675",4975987,78908802,104593404,4.80%,75.40%,"47,275","11,409,482","7,477,773",6634014,"73,932,815","4,975,987"
West Virginia,WV,Mid Atlantic,0,0,0,"742,439","1,576,275",0,"68,135,764","170,674","149,347",0,422,742439,2318714,70774921,1.00%,3.30%,"170,674","149,347","68,135,764",0,"1,576,275","742,439"
Wisconsin,WI,Midwest,1251837,0,0,"1,059,126","1,605,407",0,"38,330,917","730,117","5,601,116","12,683,151","72,992",2310963,3916370,61334663,3.80%,6.40%,"730,117","5,601,116","38,330,917",12683151,"1,605,407","2,310,963"
Wyoming,WY,West,0,0,0,"2,213,820","853,609",0,"41,756,839","50,087","803,579",0,0,2213820,3067428,45677968,4.80%,6.70%,"50,122","803,579","41,756,839",0,"853,609","2,213,820"